timestamp,source_month,is_forecast_month,data_type,price_entsoe,solar_ghi,solar_cloud_cover,wind_speed_ms,dw_wind_speed,dw_temperature,dw_humidity,dw_hdd,load_NL_load_forecast_mw,load_DE_LU_load_forecast_mw,flow_NL_NO_net_mw,flow_NL_GB_net_mw,gen_FR_nuclear_actual_mw,grid_balance_delta_mw,cal_hour,cal_day_of_week,cal_month,cal_is_working_day,cal_is_holiday_nl
2025-11-30 23:00:00+00:00,2025-12,False,measured,86.2175,0.0,73.65238095238095,8.125,13.720833333333333,5.272777777777778,84.55277777777778,12.727222222222224,11766.0325,48448.425720750005,608.15,1048.3,51951.4875,-40.36,0.0,0.0,12.0,1.0,0.0
2025-12-01 00:00:00+00:00,2025-12,False,measured,83.535,0.0,57.31428571428571,8.125,13.55638888888889,5.134722222222222,84.43055555555556,12.865277777777777,11345.3985,47059.1027175,613.7,1047.15,52023.1625,-46.44833333333334,1.0,0.0,12.0,1.0,0.0
2025-12-01 01:00:00+00:00,2025-12,False,measured,78.395,0.0,52.47619047619047,8.125,12.43138888888889,4.595277777777778,85.66666666666667,13.404722222222224,11113.859,46605.04659525,617.875,964.725,51959.845,-12.218333333333334,2.0,0.0,12.0,1.0,0.0
2025-12-01 02:00:00+00:00,2025-12,False,measured,67.435,0.0,67.36190476190475,8.125,12.951388888888888,4.2749999999999995,86.91944444444444,13.725,11116.71625,46687.90722925,593.275,891.7,50912.18,-11.493333333333334,3.0,0.0,12.0,1.0,0.0
2025-12-01 03:00:00+00:00,2025-12,False,measured,62.61,0.0,70.81428571428572,8.125,12.94138888888889,3.7797222222222224,86.83333333333333,14.22027777777778,11140.2695,47855.25053975,564.375,819.05,50841.0375,34.53,4.0,0.0,12.0,1.0,0.0
2025-12-01 04:00:00+00:00,2025-12,False,measured,60.0,0.0,50.71904761904762,8.125,13.896944444444445,3.6136111111111116,87.43055555555556,14.38638888888889,11590.50975,52932.6927055,565.6,956.0,51393.3875,119.07333333333332,5.0,0.0,12.0,1.0,0.0
2025-12-01 05:00:00+00:00,2025-12,False,measured,67.5775,0.0,70.74285714285715,8.125,16.52138888888889,3.6522222222222225,86.86666666666667,14.347777777777779,12669.3825,61653.9524835,481.125,875.075,52350.8525,98.70833333333333,6.0,0.0,12.0,1.0,0.0
2025-12-01 06:00:00+00:00,2025-12,False,measured,89.5925,0.0,72.72380952380954,8.125,17.555,3.8688888888888884,86.05,14.13111111111111,14282.04875,68072.76978175,610.025,800.8,52150.04,109.80333333333333,7.0,0.0,12.0,1.0,0.0
2025-12-01 07:00:00+00:00,2025-12,False,measured,99.485,0.12190476190476192,60.195238095238096,8.125,18.800833333333333,3.8952777777777783,84.48055555555555,14.104722222222222,15233.72875,70191.272326,619.775,841.05,52270.0275,74.55833333333334,8.0,0.0,12.0,1.0,0.0
2025-12-01 08:00:00+00:00,2025-12,False,measured,102.67,16.216190476190476,71.26666666666668,8.125,20.535555555555558,4.213333333333334,83.04444444444444,13.786666666666667,15319.7055,70196.57792975,622.9,585.5500000000001,52352.635,-19.373333333333335,9.0,0.0,12.0,1.0,0.0
2025-12-01 09:00:00+00:00,2025-12,False,measured,85.8025,80.80190476190475,84.37142857142858,8.125,21.539444444444445,4.950833333333333,82.96111111111111,13.049166666666666,14528.15025,70522.97797949999,619.1,-803.9000000000001,52268.2275,43.16166666666667,10.0,0.0,12.0,1.0,0.0
2025-12-01 10:00:00+00:00,2025-12,False,measured,79.87,118.95428571428572,82.32380952380953,8.125,22.721388888888885,5.429444444444445,77.90555555555555,12.570555555555556,13570.573,71003.97261425,610.525,-1063.8500000000001,52165.93,-36.76833333333333,11.0,0.0,12.0,1.0,0.0
2025-12-01 11:00:00+00:00,2025-12,False,measured,76.99,132.55238095238096,93.14285714285714,8.125,24.074166666666667,6.141388888888888,74.65555555555555,11.858611111111111,13218.088,70635.038096,622.6,-1019.95,52140.23,-59.080000000000005,12.0,0.0,12.0,1.0,0.0
2025-12-01 12:00:00+00:00,2025-12,False,measured,86.145,138.53333333333336,99.76190476190476,8.125,23.430000000000003,6.667222222222222,75.56111111111112,11.332777777777778,13203.09575,69296.85531975,622.85,-840.15,51851.7625,-68.085,13.0,0.0,12.0,1.0,0.0
2025-12-01 13:00:00+00:00,2025-12,False,measured,93.5,100.28571428571429,100.0,8.125,24.03027777777778,6.853333333333333,74.66388888888889,11.146666666666667,13927.45875,68211.08476125001,622.7,-456.375,52074.7775,31.480000000000004,14.0,0.0,12.0,1.0,0.0
