MAE,RMSE,R2,bias,MAPE,near_zero_actual_count_abs_lt_1,fold,model,validation_start_local,validation_end_local
9.56375690460205,12.30508737173583,0.7521550201375252,-4.073209152221681,7.1984563192702815,0,1,FFNN,2026-01-26 00:00:00+01:00,2026-01-29 23:00:00+01:00
12.08704645305297,15.536521038396721,0.6048897666190011,-1.4945091332729572,9.113491169599634,0,1,Ridge,2026-01-26 00:00:00+01:00,2026-01-29 23:00:00+01:00
22.026848958333336,28.80210586760722,-0.35787317211276926,-11.530755208333337,16.25968492885996,0,1,Lag 168h,2026-01-26 00:00:00+01:00,2026-01-29 23:00:00+01:00
22.10078125,28.71063495929035,-0.34926208902597655,-20.940260416666668,15.502438952446726,0,1,Lag 96h,2026-01-26 00:00:00+01:00,2026-01-29 23:00:00+01:00
6.680625082651773,8.814807725508297,0.5726602209011424,1.0354330253601065,5.950304436343276,0,2,FFNN,2026-01-30 00:00:00+01:00,2026-02-02 23:00:00+01:00
9.974464283510398,11.34531415476584,0.2920856984775009,-6.1590796547272895,8.991435804267848,0,2,Ridge,2026-01-30 00:00:00+01:00,2026-02-02 23:00:00+01:00
11.179661458333333,18.57324437748368,-0.897243964591055,6.036067708333332,9.89566106662152,0,2,Lag 168h,2026-01-30 00:00:00+01:00,2026-02-02 23:00:00+01:00
20.286119791666668,26.709976404299372,-2.9236895936988856,18.018151041666666,18.039906391797654,0,2,Lag 96h,2026-01-30 00:00:00+01:00,2026-02-02 23:00:00+01:00
7.106779473622641,8.562054203066298,0.7283521396003211,1.6734995969136557,6.9129067037794965,0,3,FFNN,2026-02-03 00:00:00+01:00,2026-02-06 23:00:00+01:00
20.797288720971945,23.90753545946742,-1.1179707604642566,20.463611872671546,20.047818193877763,0,3,Ridge,2026-02-03 00:00:00+01:00,2026-02-06 23:00:00+01:00
21.633671875,26.829622297326285,-1.6673466503405403,18.41981770833333,21.496154405455947,0,3,Lag 168h,2026-02-03 00:00:00+01:00,2026-02-06 23:00:00+01:00
12.72765625,15.974989314354799,0.05434767281374275,7.236041666666668,12.923292439276343,0,3,Lag 96h,2026-02-03 00:00:00+01:00,2026-02-06 23:00:00+01:00
5.4029335689544675,7.589882142702632,0.8887861675385422,0.902393274307251,4.726301931987117,0,4,FFNN,2026-02-07 00:00:00+01:00,2026-02-10 23:00:00+01:00
8.874997615628034,11.976900646393135,0.7230651341461922,2.9015962283230885,8.008329246588913,0,4,Ridge,2026-02-07 00:00:00+01:00,2026-02-10 23:00:00+01:00
15.422864583333334,19.921069545808987,0.2338495766176546,-2.435572916666666,13.067464835151435,0,4,Lag 168h,2026-02-07 00:00:00+01:00,2026-02-10 23:00:00+01:00
13.1565625,19.256409501800732,0.2841214189932906,-6.251302083333333,10.865089577977704,0,4,Lag 96h,2026-02-07 00:00:00+01:00,2026-02-10 23:00:00+01:00
6.579962628682455,7.612441165310403,0.683962924454332,4.612827898661295,6.796635059270805,0,5,FFNN,2026-02-11 00:00:00+01:00,2026-02-14 23:00:00+01:00
15.120122235533586,16.89882833716297,-0.5574113119709168,15.120122235533586,15.342348444208051,0,5,Ridge,2026-02-11 00:00:00+01:00,2026-02-14 23:00:00+01:00
9.339713541666667,11.606602413986367,0.2653163889465502,6.118984375000001,9.58301786277887,0,5,Lag 168h,2026-02-11 00:00:00+01:00,2026-02-14 23:00:00+01:00
16.544166666666666,21.5329405268852,-1.5286971436419847,11.306041666666667,16.477645862868847,0,5,Lag 96h,2026-02-11 00:00:00+01:00,2026-02-14 23:00:00+01:00
7.544521617889404,10.747448308764273,0.6158389772737025,4.620943298339844,8.288949027402182,0,6,FFNN,2026-02-15 00:00:00+01:00,2026-02-18 23:00:00+01:00
6.8831465245182,10.15004037590609,0.6573599627674571,1.1471048801450714,7.423530258947543,0,6,Ridge,2026-02-15 00:00:00+01:00,2026-02-18 23:00:00+01:00
21.690286458333333,28.01749505865896,-1.6107252944942023,18.489921875000004,23.958302170254413,0,6,Lag 168h,2026-02-15 00:00:00+01:00,2026-02-18 23:00:00+01:00
14.422447916666668,20.477939587898607,-0.394681640156076,7.402395833333334,16.301414261773036,0,6,Lag 96h,2026-02-15 00:00:00+01:00,2026-02-18 23:00:00+01:00
5.379678975741068,6.736733750118793,0.9010962749992284,1.102070829073588,8.09640303246743,0,7,FFNN,2026-02-19 00:00:00+01:00,2026-02-22 23:00:00+01:00
9.259741976016933,11.171115652136335,0.7280387818577659,4.559533848627827,12.624432194900367,0,7,Ridge,2026-02-19 00:00:00+01:00,2026-02-22 23:00:00+01:00
20.94934895833333,25.46000813034819,-0.4126382380177023,20.734869791666664,37.21739494558555,0,7,Lag 168h,2026-02-19 00:00:00+01:00,2026-02-22 23:00:00+01:00
22.266588541666664,31.336278447513585,-1.1399750847363492,17.221119791666666,42.41604229576012,0,7,Lag 96h,2026-02-19 00:00:00+01:00,2026-02-22 23:00:00+01:00
12.233801064491272,16.989917113627268,0.6635315703220881,1.7008226664861048,38.594117696737754,0,8,FFNN,2026-02-23 00:00:00+01:00,2026-02-26 23:00:00+01:00
16.22990652749512,19.307475006698922,0.5654770056603489,-10.658515371518098,36.69777543656894,0,8,Ridge,2026-02-23 00:00:00+01:00,2026-02-26 23:00:00+01:00
18.365052083333335,26.263564107130907,0.19597579240188956,7.84828125,58.386808106194955,0,8,Lag 168h,2026-02-23 00:00:00+01:00,2026-02-26 23:00:00+01:00
22.522109375,29.88489151863746,-0.041034610433170915,-9.201796875,55.599624312712095,0,8,Lag 96h,2026-02-23 00:00:00+01:00,2026-02-26 23:00:00+01:00
15.672492057482401,21.50822667895337,0.6380161154125193,-0.9489431587855015,15284.210063139875,9,9,FFNN,2026-02-27 00:00:00+01:00,2026-03-02 23:00:00+01:00
19.06079398615361,26.093698895586417,0.4672158214459312,-1.58236439054808,19490.77741684551,9,9,Ridge,2026-02-27 00:00:00+01:00,2026-03-02 23:00:00+01:00
28.053151041666666,34.43701036497803,0.07203646833781407,0.20080729166666758,28077.314717199835,9,9,Lag 168h,2026-02-27 00:00:00+01:00,2026-03-02 23:00:00+01:00
29.243177083333336,40.741552543390306,-0.2988385669247451,14.398697916666668,34650.29113457539,9,9,Lag 96h,2026-02-27 00:00:00+01:00,2026-03-02 23:00:00+01:00
24.743614969253542,34.35495566500428,0.5762767360913457,-12.44444650332133,49.927484599690715,0,10,FFNN,2026-03-03 00:00:00+01:00,2026-03-06 23:00:00+01:00
33.64273727619574,44.24839171124308,0.29709197065791193,-23.667292399404033,69.01985873364237,0,10,Ridge,2026-03-03 00:00:00+01:00,2026-03-06 23:00:00+01:00
43.24380208333334,53.809818195611776,-0.039504978315588524,-34.477343749999996,46.473540834907574,0,10,Lag 168h,2026-03-03 00:00:00+01:00,2026-03-06 23:00:00+01:00
51.4428125,63.75950526563667,-0.4594640481078365,-50.59078125,45.46948160886339,0,10,Lag 96h,2026-03-03 00:00:00+01:00,2026-03-06 23:00:00+01:00
17.818981064160667,21.209949949935897,0.7818583852192964,-13.49652367432912,2956.582366542382,1,11,FFNN,2026-03-07 00:00:00+01:00,2026-03-10 23:00:00+01:00
29.685628461256513,32.802983836670066,0.47822179285407984,-23.723811529252306,3117.3849292614364,1,11,Ridge,2026-03-07 00:00:00+01:00,2026-03-10 23:00:00+01:00
45.517083333333325,49.82408014182667,-0.20375419927206062,-45.517083333333325,125.51850049040635,1,11,Lag 168h,2026-03-07 00:00:00+01:00,2026-03-10 23:00:00+01:00
28.269010416666664,38.86033706757069,0.267728110372229,-3.417239583333332,3141.0271764121053,1,11,Lag 96h,2026-03-07 00:00:00+01:00,2026-03-10 23:00:00+01:00
20.08024916489919,25.60441391532003,0.6773055739880669,10.335923326810201,2546.230096354939,4,12,FFNN,2026-03-11 00:00:00+01:00,2026-03-14 23:00:00+01:00
22.482987821694167,28.096581375470095,0.6114304658158705,7.892155676033108,1199.5229766356479,4,12,Ridge,2026-03-11 00:00:00+01:00,2026-03-14 23:00:00+01:00
43.803020833333335,60.70730841655139,-0.8140269762228269,32.80828125,722.0314692053773,4,12,Lag 168h,2026-03-11 00:00:00+01:00,2026-03-14 23:00:00+01:00
39.34783854166667,51.24184733363994,-0.2924428302010349,36.047578124999994,410.1189323490124,4,12,Lag 96h,2026-03-11 00:00:00+01:00,2026-03-14 23:00:00+01:00
15.591393381754557,19.879131783737506,0.8193911092013745,-0.08192939122517913,161.22632293303695,0,13,FFNN,2026-03-15 00:00:00+01:00,2026-03-18 23:00:00+01:00
22.186177920922166,26.82614264691559,0.6711023585789592,-2.5985641413884775,169.92858073824326,0,13,Ridge,2026-03-15 00:00:00+01:00,2026-03-18 23:00:00+01:00
35.20700520833333,43.5708814188695,0.1323651435177563,21.751484375,193.51215762472648,0,13,Lag 168h,2026-03-15 00:00:00+01:00,2026-03-18 23:00:00+01:00
42.754114583333326,54.49036995744256,-0.3570123899698838,-8.263958333333333,360.2115884353894,0,13,Lag 96h,2026-03-15 00:00:00+01:00,2026-03-18 23:00:00+01:00
15.849009793599445,21.233915391866685,0.6291390676738742,10.415761273701987,24.967594019650328,0,14,FFNN,2026-04-15 00:00:00+02:00,2026-04-18 23:00:00+02:00
21.109465653693917,24.4011673418598,0.5102526132750906,19.080738778983598,26.090365091229685,0,14,Ridge,2026-04-15 00:00:00+02:00,2026-04-18 23:00:00+02:00
31.243515624999997,39.673437594767826,-0.2946446641850571,-18.253359375000002,42.84552699878595,0,14,Lag 168h,2026-04-15 00:00:00+02:00,2026-04-18 23:00:00+02:00
37.936822916666664,47.13805069205635,-0.8276547474859248,-5.567968750000001,50.10649092470326,0,14,Lag 96h,2026-04-15 00:00:00+02:00,2026-04-18 23:00:00+02:00
9.578492124875387,12.349190286749264,0.9280307197430505,0.9966174332300821,112.11863076464523,2,15,FFNN,2026-04-19 00:00:00+02:00,2026-04-22 23:00:00+02:00
13.949202887575582,17.49512592801114,0.8555543924792662,3.6142962095538667,128.26560048426856,2,15,Ridge,2026-04-19 00:00:00+02:00,2026-04-22 23:00:00+02:00
36.35359375000001,45.30599479310336,0.031317317792990296,28.698906250000004,737.9648896974761,2,15,Lag 168h,2026-04-19 00:00:00+02:00,2026-04-22 23:00:00+02:00
24.533593749999998,31.458606179142375,0.5329653019088871,21.285364583333337,613.7984200010981,2,15,Lag 96h,2026-04-19 00:00:00+02:00,2026-04-22 23:00:00+02:00
33.9090458202362,73.11804308827195,0.588708484689151,18.199806788762412,1021.8116804767178,3,16,FFNN,2026-04-23 00:00:00+02:00,2026-04-26 23:00:00+02:00
39.26057914457348,81.05378555940719,0.49458603525467104,23.0906691981814,1473.5688084017222,3,16,Ridge,2026-04-23 00:00:00+02:00,2026-04-26 23:00:00+02:00
51.70981770833333,91.17042185110154,0.3605471020170361,40.973046874999994,2627.591957574675,3,16,Lag 168h,2026-04-23 00:00:00+02:00,2026-04-26 23:00:00+02:00
44.880338541666674,81.30772840654701,0.4914141336394373,27.796119791666666,2830.0275461606416,3,16,Lag 96h,2026-04-23 00:00:00+02:00,2026-04-26 23:00:00+02:00
19.357617645263673,28.216221159856502,0.7825916050376376,-0.5881120204925532,871.4752076348775,5,17,FFNN,2026-04-27 00:00:00+02:00,2026-04-30 23:00:00+02:00
23.63324993783328,35.98815835944177,0.6463302999069394,-11.359475517366862,1885.366974732683,5,17,Ridge,2026-04-27 00:00:00+02:00,2026-04-30 23:00:00+02:00
