epoch,train_loss,val_loss,fold
1,0.3774776440113783,0.42543458938598633,1
2,0.21261310949921608,0.3518364429473877,1
3,0.14391188044101,0.22716951370239258,1
4,0.13104705326259136,0.1901252418756485,1
5,0.1087737325578928,0.120925672352314,1
6,0.09700293932110071,0.11362376809120178,1
7,0.08732272032648325,0.11707495898008347,1
8,0.09329449571669102,0.1119765117764473,1
9,0.08828202728182077,0.11578812450170517,1
10,0.08457511756569147,0.1215461865067482,1
11,0.07903216267004609,0.10521351546049118,1
12,0.07826855592429638,0.09919904917478561,1
13,0.07187114330008626,0.11856768280267715,1
14,0.06771090067923069,0.10395558923482895,1
15,0.06804008269682527,0.10718020796775818,1
16,0.06490432098507881,0.0941561833024025,1
17,0.06696339696645737,0.10572990030050278,1
18,0.06243734899908304,0.1028900146484375,1
19,0.0594940111041069,0.12143021076917648,1
20,0.06478835083544254,0.10591422766447067,1
21,0.05975867575034499,0.08633094280958176,1
22,0.06300564063712955,0.1130148395895958,1
23,0.05934259854257107,0.09685533493757248,1
24,0.05338062811642885,0.10017940402030945,1
25,0.052397764287889004,0.09999275207519531,1
26,0.04427192872390151,0.09830514341592789,1
27,0.047881622798740864,0.10566937923431396,1
28,0.047895999159663916,0.10446975380182266,1
29,0.053450629115104675,0.10570759326219559,1
30,0.04952534823678434,0.10052403062582016,1
31,0.042224854696542025,0.10539629310369492,1
32,0.042285650270059705,0.10601920634508133,1
33,0.04080722527578473,0.09767211228609085,1
34,0.04171017021872103,0.10613162070512772,1
35,0.04235703614540398,0.09214525669813156,1
36,0.042339532636106014,0.09818726032972336,1
37,0.03911877563223243,0.11782673001289368,1
38,0.038251426769420505,0.10667147487401962,1
39,0.039017022820189595,0.1101263239979744,1
40,0.03794813668355346,0.1220928356051445,1
41,0.04055586131289601,0.11943504214286804,1
42,0.037809015018865466,0.10092253237962723,1
43,0.04253188078291714,0.10174950957298279,1
44,0.03948734584264457,0.119507797062397,1
45,0.0380141471978277,0.10748887807130814,1
46,0.035355268977582455,0.09929776936769485,1
47,0.038974726339802146,0.0925198569893837,1
48,0.035017704125493765,0.09691832214593887,1
49,0.034137571696192026,0.09888093918561935,1
1,0.3296498755613963,0.07235179841518402,2
2,0.1826332708199819,0.04148333519697189,2
3,0.1322821080684662,0.04140695556998253,2
4,0.11349625719918145,0.048548176884651184,2
5,0.10407790541648865,0.045741062611341476,2
6,0.09080413232247035,0.05209706351161003,2
7,0.08809966676765019,0.046187203377485275,2
8,0.08256690204143524,0.058297958225011826,2
9,0.07651317699087991,0.08543365448713303,2
10,0.07288635397950809,0.06367999315261841,2
11,0.06557462157474624,0.0712757259607315,2
12,0.06780397767821948,0.0626557320356369,2
13,0.06719094225102001,0.061869245022535324,2
14,0.06052302072445551,0.08388461917638779,2
15,0.06496489296356837,0.07629654556512833,2
16,0.055190311951769724,0.09588000923395157,2
17,0.05030694852272669,0.07785587757825851,2
18,0.056056692368454404,0.07731305807828903,2
19,0.059072045816315547,0.0675569400191307,2
20,0.055688395268387265,0.0999201163649559,2
21,0.052162605027357735,0.0710444450378418,2
22,0.05123247827092806,0.08777130395174026,2
23,0.042823651598559484,0.07452955096960068,2
24,0.04447338026430872,0.08282650262117386,2
25,0.049814685765239924,0.0742923766374588,2
26,0.04940584426124891,0.09005565196275711,2
27,0.04057905885080496,0.0868544653058052,2
28,0.04363561711377568,0.07149741798639297,2
29,0.04346083104610443,0.08675358444452286,2
30,0.04661473466290368,0.07073471695184708,2
31,0.044531833173500165,0.09091833233833313,2
1,0.30860260874032974,0.10599809885025024,3
2,0.1798442706465721,0.06423541158437729,3
3,0.13962845951318742,0.05439676344394684,3
4,0.1080224297940731,0.04126723110675812,3
5,0.09814637824892998,0.050993647426366806,3
6,0.08813385814428329,0.05301846191287041,3
7,0.08036597482860089,0.060650840401649475,3
8,0.07845066301524639,0.05772947892546654,3
9,0.07977231219410896,0.05414395406842232,3
10,0.0763117678463459,0.06905103474855423,3
11,0.07091121338307857,0.06273993104696274,3
12,0.06779046654701233,0.05783626437187195,3
13,0.06208712346851826,0.06749587506055832,3
14,0.06311850994825363,0.07907021045684814,3
15,0.06199152842164039,0.05817225202918053,3
16,0.054277172312140465,0.04779095947742462,3
17,0.05513526797294617,0.05000852048397064,3
18,0.05827825590968132,0.048762694001197815,3
19,0.05193774923682213,0.05463595315814018,3
20,0.04578412845730782,0.053757667541503906,3
21,0.050852771289646624,0.047021880745887756,3
22,0.049370343796908855,0.05554509535431862,3
23,0.044596144929528236,0.05544762685894966,3
24,0.043285952508449556,0.06549977511167526,3
25,0.062122048996388915,0.05921809747815132,3
26,0.046574036963284014,0.053018126636743546,3
27,0.04252741150557995,0.05081423744559288,3
28,0.0445435993373394,0.05861933156847954,3
29,0.03687988556921482,0.07144773006439209,3
30,0.04242313150316477,0.05021495744585991,3
31,0.03724138308316469,0.06969839334487915,3
32,0.041919587180018425,0.049694519490003586,3
1,0.30149426514452154,0.20252670347690582,4
2,0.15096174451437863,0.15746822953224182,4
3,0.12931160019202667,0.09747076034545898,4
4,0.11471561681140553,0.09078776836395264,4
5,0.0939400087703358,0.08133098483085632,4
6,0.09269806742668152,0.07187066227197647,4
7,0.08448525382713838,0.06257741153240204,4
8,0.08379243754527786,0.06208202615380287,4
9,0.06506692618131638,0.060823071748018265,4
10,0.06329123133962805,0.06142394244670868,4
11,0.06525803763758052,0.07084611803293228,4
12,0.0683856565843929,0.05955944582819939,4
13,0.06333676386963237,0.061974164098501205,4
14,0.06237222830002958,0.05603501573204994,4
15,0.065035976130854,0.04941948130726814,4
16,0.06728846139528534,0.056448910385370255,4
17,0.052883105860515076,0.07028651982545853,4
18,0.056122485886920585,0.06344151496887207,4
19,0.0647267997264862,0.06345701217651367,4
20,0.056001216511834755,0.05669552460312843,4
21,0.0684961581772024,0.057870522141456604,4
22,0.060530171475627205,0.06589974462985992,4
23,0.051368062469092285,0.05811959505081177,4
24,0.052373001859946686,0.04939574375748634,4
25,0.04718459177423607,0.047906193882226944,4
26,0.04709063809026371,0.048355743288993835,4
27,0.05340683663433248,0.04806511476635933,4
28,0.04680860110304572,0.05684772506356239,4
29,0.05685735663229769,0.060060013085603714,4
30,0.049070767550305885,0.05188702419400215,4
31,0.0397087520157749,0.05128335952758789,4
32,0.04405187392099337,0.0483725480735302,4
33,0.04427170143886046,0.0489097498357296,4
34,0.04075838506899097,0.047279130667448044,4
35,0.046721607108007775,0.047803234308958054,4
36,0.042435552924871445,0.049328599125146866,4
37,0.04390754432163455,0.0477265864610672,4
38,0.045344496315175835,0.04601224884390831,4
39,0.04271460697054863,0.04788777232170105,4
40,0.05357014150782065,0.05061863362789154,4
41,0.03839541971683502,0.04930592700839043,4
42,0.037918000905351204,0.048118460923433304,4
43,0.03635656952180646,0.044213179498910904,4
44,0.045194022696126594,0.04231300577521324,4
45,0.04373692280866883,0.042899277061223984,4
46,0.045571866699240425,0.04501744732260704,4
47,0.031379971991885795,0.047638315707445145,4
48,0.048672541467980904,0.046150024980306625,4
49,0.03422268818725239,0.04553176835179329,4
50,0.035394351590763436,0.04753245785832405,4
51,0.047083558853377,0.05570455268025398,4
52,0.03289712745357643,0.04860488697886467,4
53,0.0351141615008766,0.04723997786641121,4
54,0.0375167823989283,0.044653650373220444,4
55,0.058224215426228264,0.04744120314717293,4
56,0.03202161734754389,0.047951873391866684,4
57,0.03590258414095098,0.04169563949108124,4
