timestamp,source_month,is_forecast_month,data_type,price_entsoe,solar_ghi,solar_cloud_cover,wind_speed_ms,dw_wind_speed,dw_temperature,dw_humidity,dw_hdd,load_NL_load_forecast_mw,load_DE_LU_load_forecast_mw,flow_NL_NO_net_mw,flow_NL_GB_net_mw,gen_FR_nuclear_actual_mw,grid_balance_delta_mw,cal_hour,cal_day_of_week,cal_month,cal_is_working_day,cal_is_holiday_nl,timestamp_local,local_date,local_hour,local_day_of_week,local_month,local_hour_sin,local_hour_cos,local_dow_sin,local_dow_cos,local_month_sin,local_month_cos,load_total_nl_de_mw,nl_load_share,cross_border_net_flow_proxy_mw,cross_border_abs_flow_mw,wind_load_interaction,solar_cloud_interaction,workday_load_interaction,continuous_segment_id,price_lag_96h,price_lag_120h,price_lag_168h,price_lag_192h,price_lag_336h,price_roll_24_mean_shift96h,price_roll_24_std_shift96h,price_roll_24_min_shift96h,price_roll_24_max_shift96h,price_roll_48_mean_shift96h,price_roll_168_mean_shift96h
2025-12-14 23:00:00+00:00,2025-12,False,measured,69.9725,0.0,60.66428571428571,15.54200909090909,15.743541666666667,7.668727904040404,88.65391414141413,10.331272095959596,11057.72075,46363.7648315,622.75,724.35,52569.2725,-53.425,0.0,0.0,12.0,1.0,0.0,2025-12-15 00:00:00+01:00,2025-12-15,0,0,12,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,57421.4855815,0.19257113670988976,1347.1,1347.1,171859.19642123408,0.0,11057.72075,1,71.7275,40.3925,16.0025,63.9,86.2175,76.57770833333335,22.121526255386687,27.26,103.76,79.04421875,83.40452380952381
2025-12-15 00:00:00+00:00,2025-12,False,measured,69.42,0.0,61.72797619047619,15.44341818181818,15.739807449494949,7.425789141414141,88.97440025252526,10.57421085858586,10771.6825,45191.842657,622.525,447.1,52656.805,19.386666666666667,1.0,0.0,12.0,1.0,0.0,2025-12-15 01:00:00+01:00,2025-12-15,1,0,12,0.25881904510252074,0.9659258262890683,0.0,1.0,-2.4492935982947064e-16,1.0,55963.525157000004,0.1924768404024074,1069.625,1069.625,166351.59736927273,0.0,10771.6825,1,71.1425,32.8925,9.0225,58.2575,83.535,78.17145833333333,20.125159868615384,27.26,103.76,79.10958333333333,83.29897321428572
2025-12-15 01:00:00+00:00,2025-12,False,measured,67.89,0.0,61.46130952380952,15.211281818181815,15.73181818181818,7.170435606060607,89.18472222222222,10.829564393939394,10545.5125,44855.96943175,622.6,124.325,52551.2375,42.66666666666666,2.0,0.0,12.0,1.0,0.0,2025-12-15 02:00:00+01:00,2025-12-15,2,0,12,0.49999999999999994,0.8660254037844387,0.0,1.0,-2.4492935982947064e-16,1.0,55401.48193175001,0.19034711946859453,746.9250000000001,746.9250000000001,160410.76255465907,0.0,10545.5125,1,69.8825,27.26,10.3325,53.9525,78.395,79.94739583333333,17.08869791575931,30.3,103.76,79.1375,83.20733630952381
2025-12-15 02:00:00+00:00,2025-12,False,measured,64.9975,0.0,59.75595238095238,15.10978181818182,15.623513257575755,6.878888888888889,89.50271464646464,11.12111111111111,10481.9145,44964.21830875,622.225,-95.375,52061.9,4.38,3.0,0.0,12.0,1.0,0.0,2025-12-15 03:00:00+01:00,2025-12-15,3,0,12,0.7071067811865476,0.7071067811865476,0.0,1.0,-2.4492935982947064e-16,1.0,55446.13280875,0.189046809380831,526.85,717.6,158379.44113183641,0.0,10481.9145,1,71.6475,30.3,5.57,51.7175,67.435,81.67020833333333,13.592410104713487,42.59,103.76,79.20947916666667,83.13614583333334
2025-12-15 03:00:00+00:00,2025-12,False,measured,67.0675,0.0,57.30773809523809,14.86608181818182,15.38066287878788,6.590230429292929,89.66827651515152,11.40976957070707,10487.879,46627.748624,622.625,-0.05,52137.41,41.681666666666665,4.0,0.0,12.0,1.0,0.0,2025-12-15 04:00:00+01:00,2025-12-15,4,0,12,0.8660254037844386,0.5000000000000001,0.0,1.0,-2.4492935982947064e-16,1.0,57115.627624,0.1836253830395272,622.575,622.675,155913.66731319093,0.0,10487.879,1,72.5325,42.59,10.81,60.44,62.61,82.91781250000001,10.970735239334818,61.2425,103.76,79.34895833333333,83.1004761904762
2025-12-15 04:00:00+00:00,2025-12,False,measured,72.0,0.0,53.69226190476191,14.552618181818184,15.080246212121212,6.289690656565656,89.43753156565657,11.710309343434345,11012.4105,51745.75369275,622.225,857.25,52331.2275,82.70333333333333,5.0,0.0,12.0,1.0,0.0,2025-12-15 05:00:00+01:00,2025-12-15,5,0,12,0.9659258262890683,0.25881904510252074,0.0,1.0,-2.4492935982947064e-16,1.0,62758.164192749995,0.17547375137005977,1479.475,1479.475,160259.4052679455,0.0,11012.4105,1,76.9375,61.2425,25.0025,62.005,60.0,83.57177083333333,10.051806712984773,69.8825,103.76,79.46052083333333,83.08224702380953
2025-12-15 05:00:00+00:00,2025-12,False,measured,84.535,0.0,49.03511904761905,14.273390909090908,14.86751893939394,6.033166035353536,89.45173611111112,11.966833964646463,12359.75375,60364.6897375,512.5,1026.675,52691.8825,67.77166666666668,6.0,0.0,12.0,1.0,0.0,2025-12-15 06:00:00+01:00,2025-12-15,6,0,12,1.0,6.123233995736766e-17,0.0,1.0,-2.4492935982947064e-16,1.0,72724.4434875,0.1699532255908485,1539.175,1539.175,176415.59681385226,0.0,12359.75375,1,84.06,73.7625,59.9975,63.72,67.5775,84.00083333333333,9.832269676568067,69.8825,103.76,79.38671875000001,83.13022321428572
2025-12-15 06:00:00+00:00,2025-12,False,measured,86.905,0.0,45.83452380952381,14.073481818181818,14.759633838383838,5.843203914141414,88.98383838383839,12.156796085858586,13957.15225,66996.78082775,512.5,898.125,52708.0175,208.52,7.0,0.0,12.0,1.0,0.0,2025-12-15 07:00:00+01:00,2025-12-15,7,0,12,0.9659258262890683,-0.25881904510252063,0.0,1.0,-2.4492935982947064e-16,1.0,80953.93307775,0.17240857509165408,1410.625,1410.625,196425.72842397046,0.0,13957.15225,1,96.395,86.33250000000001,77.6775,77.0075,89.5925,84.42010416666666,10.14557283185675,69.8825,103.76,79.38401041666667,83.04924107142858
2025-12-15 07:00:00+00:00,2025-12,False,measured,100.515,0.0,38.40476190476191,13.769636363636364,14.256114267676768,5.432790404040404,88.65138888888889,12.567209595959596,14829.30325,69619.60851275,512.5,651.2,52741.4675,223.94833333333327,8.0,0.0,12.0,1.0,0.0,2025-12-15 08:00:00+01:00,2025-12-15,8,0,12,0.8660254037844387,-0.4999999999999998,0.0,1.0,-2.4492935982947064e-16,1.0,84448.91176275,0.17560088034836152,1163.7,1163.7,204194.11327859093,0.0,14829.30325,1,107.905,93.47,90.9425,80.0925,99.485,85.0215625,11.08937715868971,69.8825,107.905,79.19203125,82.9374255952381
2025-12-15 08:00:00+00:00,2025-12,False,measured,96.2975,8.348214285714286,33.40297619047619,13.52119090909091,14.567339015151516,5.390454545454546,88.1070707070707,12.609545454545454,15106.33225,69740.19335675001,512.5,875.575,52739.5775,175.27833333333334,9.0,0.0,12.0,1.0,0.0,2025-12-15 09:00:00+01:00,2025-12-15,9,0,12,0.7071067811865476,-0.7071067811865475,0.0,1.0,-2.4492935982947064e-16,1.0,84846.52560675002,0.17804302700637875,1388.075,1388.075,204255.60228840684,555.9662255527212,15106.33225,1,103.7775,93.0225,91.3775,85.555,102.67,85.4696875,11.630842017644639,69.8825,107.905,79.17348958333334,83.06357142857142
